DAILEYS GRENADINE , 91282, 0.5, 5.9, 
DAILEYS LIME , 91289, 0.9, 2, 
GRAPEFRUIT JUICE , 510005, 1, 21, 
HALF AND HALF , 510006, 0, 2.5, 
MARGARITA (DAILY'S) , 38559, 0, 6, 
ORANGE JUICE (1 GAL) , 510011, 0.75, 1.25, 
PINA COLADA (DAILY'S) , 38756, 0.3, 9.9, 
PINEAPPLE JUICE , 510014, 19, 19, 
STRAWBERRY DAQUIRI , 38755, 0.5, 14.8, 
TOMATO JUICE (1 QT) , 510018, 0.6, 1.4, 
BNB COKE , 8405, 0.25, 0.5, 
BNB CRANBERRY , 520003, 0.25, 0.75, 
BNB DIET COKE , 520002, 0.25, 0.5, 
BNB GINGER ALE , 520004, 0.25, 1.25, 
BNB LIMON LIME , 520006, 0, 1, 
BNB NITRO FUEL , 520005, 0, 1, 
BNB SWEET AND SOUR , 520007, 0, 0.75, 
BNB TONIC , 520008, 0.25, 0.5, 
BITTERS , 510001, 0, 1.5, 
COFFEE , 510003, 0.25, 0.25, 
RED BULL , 9006996, 14, 31, 
RED BULL SUGAR FEE , 9006995, 2, 23, 
